No.,Symbol,SET100 Company,Sector
1,ACE,ABSOLUTE CLEAN ENERGY PUBLIC COMPANY LIMITED,Energy & Utilities
2,ADVANC,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,Information & Communication Technology
3,AEONTS,"AEON THANA SINSAP (THAILAND) PUBLIC COMPANY LIMITED",Finance and Securities
4,AMATA,AMATA CORPORATION PUBLIC COMPANY LIMITED,Property Development
5,AOT,AIRPORTS OF THAILAND PUBLIC COMPANY LIMITED,Transportation & Logistics
6,AP,AP (THAILAND) PUBLIC COMPANY LIMITED,Property Development
7,AWC,ASSET WORLD CORP PUBLIC COMPANY LIMITED,Property Development
8,BAM,"BANGKOK COMMERCIAL ASSET MANAGEMENT PUBLIC COMPANY LIMITED",Finance and Securities
9,BANPU,BANPU PUBLIC COMPANY LIMITED,Energy & Utilities
10,BBL,BANGKOK BANK PUBLIC COMPANY LIMITED,Banking
11,BCH,BANGKOK CHAIN HOSPITAL PUBLIC COMPANY LIMITED,Health Care Services
12,BCP,BANGCHAK CORPORATION PUBLIC COMPANY LIMITED,Energy & Utilities
13,BCPG,BCPG PUBLIC COMPANY LIMITED,Energy & Utilities
14,BDMS,"BANGKOK DUSIT MEDICAL SERVICES PUBLIC COMPANY LIMITED",Health Care Services
15,BEC,BEC WORLD PUBLIC COMPANY LIMITED,Media & Publishing
16,BEM,"BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED",Transportation & Logistics
17,BGRIM,B.GRIMM POWER PUBLIC COMPANY LIMITED,Energy & Utilities
18,BH,BUMRUNGRAD HOSPITAL PUBLIC COMPANY LIMITED,Health Care Services
19,BLA,BANGKOK LIFE ASSURANCE PUBLIC COMPANY LIMITED,Insurance
20,BTS,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,Transportation & Logistics
21,CBG,CARABAO GROUP PUBLIC COMPANY LIMITED,Food and Beverage
22,CENTEL,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED,Tourism & Leisure
23,CHG,CHULARAT HOSPITAL PUBLIC COMPANY LIMITED,Health Care Services
24,CK,CH. KARNCHANG PUBLIC COMPANY LIMITED,Construction Services
25,CKP,CK POWER PUBLIC COMPANY LIMITED,Energy & Utilities
26,COM7,COM7 PUBLIC COMPANY LIMITED,Commerce
27,CPALL,CP ALL PUBLIC COMPANY LIMITED,Commerce
28,CPF,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,Food and Beverage
29,CPN,CENTRAL PATTANA PUBLIC COMPANY LIMITED,Property Development
30,CRC,CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED,Commerce
31,DOHOME,DOHOME PUBLIC COMPANY LIMITED,Commerce
32,DTAC,"TOTAL ACCESS COMMUNICATION PUBLIC COMPANY LIMITED",Information & Communication Technology
33,EA,ENERGY ABSOLUTE PUBLIC COMPANY LIMITED,Energy & Utilities
34,EGCO,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED,Energy & Utilities
35,EPG,EASTERN POLYMER GROUP PUBLIC COMPANY LIMITED,Construction Materials
36,ESSO,ESSO (THAILAND) PUBLIC COMPANY LIMITED,Energy & Utilities
37,FORTH,FORTH CORPORATION PUBLIC COMPANY LIMITED,Information & Communication Technology
38,GLOBAL,SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED,Commerce
39,GPSC,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,Energy & Utilities
40,GULF,GULF ENERGY DEVELOPMENT PUBLIC COMPANY LIMITED,Energy & Utilities
41,GUNKUL,GUNKUL ENGINEERING PUBLIC COMPANY LIMITED,Energy & Utilities
42,HANA,HANA MICROELECTRONICS PUBLIC COMPANY LIMITED,Electronic Components
43,HMPRO,HOME PRODUCT CENTER PUBLIC COMPANY LIMITED,Commerce
44,INTUCH,INTOUCH HOLDINGS PUBLIC COMPANY LIMITED,Information & Communication Technology
45,IRPC,IRPC PUBLIC COMPANY LIMITED,Energy & Utilities
46,IVL,INDORAMA VENTURES PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals
47,JMART,JAY MART PUBLIC COMPANY LIMITED,Information & Communication Technology
48,JMT,JMT NETWORK SERVICES PUBLIC COMPANY LIMITED,Finance and Securities
49,KBANK,KASIKORNBANK PUBLIC COMPANY LIMITED,Banking
50,KCE,KCE ELECTRONICS PUBLIC COMPANY LIMITED,Electronic Components
51,KEX,KERRY EXPRESS (THAILAND) PUBLIC COMPANY LIMITED,Transportation & Logistics
52,KKP,KIATNAKIN PHATRA BANK PUBLIC COMPANY LIMITED,Banking
53,KTB,KRUNG THAI BANK PUBLIC COMPANY LIMITED,Banking
54,KTC,KRUNGTHAI CARD PUBLIC COMPANY LIMITED,Finance and Securities
55,LH,LAND AND HOUSES PUBLIC COMPANY LIMITED,Property Development
56,MAJOR,MAJOR CINEPLEX GROUP PUBLIC COMPANY LIMITED,Media & Publishing
57,MEGA,MEGA LIFESCIENCES PUBLIC COMPANY LIMITED,Commerce
58,MINT,MINOR INTERNATIONAL PUBLIC COMPANY LIMITED,Food and Beverage
59,MTC,MUANGTHAI CAPITAL PUBLIC COMPANY LIMITED,Finance and Securities
60,ONEE,THE ONE ENTERPRISE PUBLIC COMPANY LIMITED,Media & Publishing
61,OR,PTT OIL AND RETAIL BUSINESS PUBLIC COMPANY LIMITED,Energy & Utilities
62,ORI,ORIGIN PROPERTY PUBLIC COMPANY LIMITED,Property Development
63,OSP,OSOTSPA PUBLIC COMPANY LIMITED,Food and Beverage
64,PLANB,PLAN B MEDIA PUBLIC COMPANY LIMITED,Media & Publishing
65,PSL,PRECIOUS SHIPPING PUBLIC COMPANY LIMITED,Transportation & Logistics
66,PTG,PTG ENERGY PUBLIC COMPANY LIMITED,Energy & Utilities
67,PTT,PTT PUBLIC COMPANY LIMITED,Energy & Utilities
68,PTTEP,"PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY LIMITED",Energy & Utilities
69,PTTGC,PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED,Petrochemicals & Chemicals
70,QH,QUALITY HOUSES PUBLIC COMPANY LIMITED,Property Development
71,RATCH,RATCH GROUP PUBLIC COMPANY LIMITED,Energy & Utilities
72,RBF,R&B FOOD SUPPLY PUBLIC COMPANY LIMITED,Food and Beverage
73,RCL,REGIONAL CONTAINER LINES PUBLIC COMPANY LIMITED,Transportation & Logistics
74,SAWAD,SRISAWAD CORPORATION PUBLIC COMPANY LIMITED,Finance and Securities
75,SCB,SCB X PUBLIC COMPANY LIMITED,Banking
76,SCC,THE SIAM CEMENT PUBLIC COMPANY LIMITED,Construction Materials
77,SCGP,SCG PACKAGING PUBLIC COMPANY LIMITED,Packaging
78,SINGER,SINGER THAILAND PUBLIC COMPANY LIMITED,Commerce
79,SPALI,SUPALAI PUBLIC COMPANY LIMITED,Property Development
80,SPRC,STAR PETROLEUM REFINING PUBLIC COMPANY LIMITED,Energy & Utilities
81,STA,SRI TRANG AGRO-INDUSTRY PUBLIC COMPANY LIMITED,Agribusiness
82,STARK,STARK CORPORATION PUBLIC COMPANY LIMITED,Industrial Materials & Machinery
83,STEC,"SINO-THAI ENGINEERING AND CONSTRUCTION PUBLIC CO.,LTD.",Construction Services
84,STGT,SRI TRANG GLOVES (THAILAND) PUBLIC COMPANY LIMITED,Personal Products & Pharmaceuticals
85,SUPER,SUPER ENERGY CORPORATION PUBLIC COMPANY LIMITED,Energy & Utilities
86,SYNEX,SYNNEX (THAILAND) PUBLIC COMPANY LIMITED,Information & Communication Technology
87,TASCO,TIPCO ASPHALT PUBLIC COMPANY LIMITED,Construction Materials
88,TCAP,THANACHART CAPITAL PUBLIC COMPANY LIMITED,Banking
89,THANI,RATCHTHANI LEASING PUBLIC COMPANY LIMITED,Finance and Securities
90,TIDLOR,NGERN TID LOR PUBLIC COMPANY LIMITED,Finance and Securities
91,TIPH,DHIPAYA GROUP HOLDINGS PUBLIC COMPANY LIMITED,Insurance
92,TISCO,TISCO FINANCIAL GROUP PUBLIC COMPANY LIMITED,Banking
93,TOP,THAI OIL PUBLIC COMPANY LIMITED,Energy & Utilities
94,TQM,TQM CORPORATION PUBLIC COMPANY LIMITED,Insurance
95,TRUE,TRUE CORPORATION PUBLIC COMPANY LIMITED,Information & Communication Technology
96,TTA,THORESEN THAI AGENCIES PUBLIC COMPANY LIMITED,Transportation & Logistics
97,TTB,TMBTHANACHART BANK PUBLIC COMPANY LIMITED,Banking
98,TU,THAI UNION GROUP PUBLIC COMPANY LIMITED,Food and Beverage
99,VGI,VGI PUBLIC COMPANY LIMITED,Media & Publishing
100,WHA,WHA CORPORATION PUBLIC COMPANY LIMITED,Property Development
